L_nm,W_um,T_K,Vgs_V,Vds_V,log10_Id_A
45.0,0.2,250.0,0.09,0.1,-9.365090665638961
45.0,0.2,250.0,0.09,0.3,-8.993940630615365
45.0,0.2,250.0,0.09,0.5,-8.633481788624843
45.0,0.2,250.0,0.09,0.9,-7.919951032421149
45.0,0.2,250.0,0.09,1.0,-7.741544708989224
45.0,0.2,250.0,0.1,0.05,-9.343792519085842
45.0,0.2,250.0,0.1,0.1,-9.226067352532354
45.0,0.2,250.0,0.1,0.3,-8.85542267917945
45.0,0.2,250.0,0.1,0.5,-8.495663728479935
45.0,0.2,250.0,0.1,0.9,-7.784526352204515
45.0,0.2,250.0,0.1,1.0,-7.607027084906532
45.0,0.2,250.0,0.11,0.05,-9.204802882772821
45.0,0.2,250.0,0.11,0.1,-9.08719201476927
45.0,0.2,250.0,0.11,0.3,-8.717110641514266
45.0,0.2,250.0,0.11,0.5,-8.358147286323781
45.0,0.2,250.0,0.11,0.9,-7.64975585931245
45.0,0.2,250.0,0.11,1.0,-7.473291212522731
45.0,0.2,250.0,0.12,0.05,-9.065976502339991
45.0,0.2,250.0,0.12,0.1,-8.94849246631668
45.0,0.2,250.0,0.12,0.3,-8.579048003923447
45.0,0.2,250.0,0.12,0.5,-8.220996920722225
45.0,0.2,250.0,0.12,0.9,-7.5157514246667185
45.0,0.2,250.0,0.12,1.0,-7.340465995147286
45.0,0.2,250.0,0.13,0.05,-8.927342108759133
45.0,0.2,250.0,0.13,0.1,-8.810004660035682
45.0,0.2,250.0,0.13,0.3,-8.441287830356208
45.0,0.2,250.0,0.13,0.5,-8.084282607430513
45.0,0.2,250.0,0.13,0.9,-7.382634753094107
45.0,0.2,250.0,0.13,1.0,-7.208686979458147
45.0,0.2,250.0,0.14,0.05,-8.788932880782967
45.0,0.2,250.0,0.14,0.1,-8.671759066701192
45.0,0.2,250.0,0.14,0.3,-8.303880484312566
45.0,0.2,250.0,0.14,0.5,-7.948079937515638
45.0,0.2,250.0,0.14,0.9,-7.250534236780126
45.0,0.2,250.0,0.14,1.0,-7.078098770889983
45.0,0.2,250.0,0.15,0.05,-8.650786601283961
45.0,0.2,250.0,0.15,0.1,-8.533801382069496
45.0,0.2,250.0,0.15,0.3,-8.16688668911993
45.0,0.2,250.0,0.15,0.5,-7.812467998933879
45.0,0.2,250.0,0.15,0.9,-7.119591747854866
45.0,0.2,250.0,0.15,1.0,-6.948855198412038
45.0,0.2,250.0,0.16,0.05,-8.51294509630434
45.0,0.2,250.0,0.16,0.1,-8.396178180098524
45.0,0.2,250.0,0.16,0.3,-8.030372583689706
45.0,0.2,250.0,0.16,0.5,-7.677538808576843
45.0,0.2,250.0,0.16,0.9,-6.9899545873639015
45.0,0.2,250.0,0.16,1.0,-6.821117975118616
45.0,0.2,250.0,0.17,0.05,-8.37545699323323
45.0,0.2,250.0,0.17,0.1,-8.258940629551
45.0,0.2,250.0,0.17,0.3,-7.8944114789771325
45.0,0.2,250.0,0.17,0.5,-7.543397143554044
45.0,0.2,250.0,0.17,0.9,-6.861782589851445
45.0,0.2,250.0,0.17,1.0,-6.695057317597535
45.0,0.2,250.0,0.18,0.05,-8.238378078734462
45.0,0.2,250.0,0.18,0.1,-8.122150272189568
45.0,0.2,250.0,0.18,0.3,-7.759091484236355
45.0,0.2,250.0,0.18,0.5,-7.410150889742785
45.0,0.2,250.0,0.18,0.9,-6.7352388277914965
45.0,0.2,250.0,0.18,1.0,-6.570843871220219
45.0,0.2,250.0,0.19,0.05,-8.101773007312744
45.0,0.2,250.0,0.19,0.1,-7.985878657958999
45.0,0.2,250.0,0.19,0.3,-7.624502821286023
45.0,0.2,250.0,0.19,0.5,-7.27792328583667
45.0,0.2,250.0,0.19,0.9,-6.610495475108238
45.0,0.2,250.0,0.19,1.0,-6.448657368989902
45.0,0.2,250.0,0.2,0.05,-7.965712536219131
45.0,0.2,250.0,0.2,0.1,-7.850199137741671
45.0,0.2,250.0,0.2,0.3,-7.49075042044481
45.0,0.2,250.0,0.2,0.5,-7.146848345507359
45.0,0.2,250.0,0.2,0.9,-6.487729287506875
45.0,0.2,250.0,0.2,1.0,-6.328670691300141
45.0,0.2,250.0,0.21,0.05,-7.830284430387727
45.0,0.2,250.0,0.21,0.1,-7.715201681497679
45.0,0.2,250.0,0.21,0.3,-7.357950186552452
45.0,0.2,250.0,0.21,0.5,-7.017071037695944
45.0,0.2,250.0,0.21,0.9,-6.367114698359066
45.0,0.2,250.0,0.21,1.0,-6.21105497903191
45.0,0.2,250.0,0.22,0.05,-7.6955741041906025
45.0,0.2,250.0,0.22,0.1,-7.580984864670871
45.0,0.2,250.0,0.22,0.3,-7.226230371460682
45.0,0.2,250.0,0.22,0.5,-6.888744209217767
45.0,0.2,250.0,0.22,0.9,-6.248821010893191
45.0,0.2,250.0,0.22,1.0,-6.0959745736899205
45.0,0.2,250.0,0.23,0.05,-7.561690286511014
45.0,0.2,250.0,0.23,0.1,-7.447660366168802
45.0,0.2,250.0,0.23,0.3,-7.0957281700755335
45.0,0.2,250.0,0.23,0.5,-6.762034236228952
45.0,0.2,250.0,0.23,0.9,-6.1330153953947
45.0,0.2,250.0,0.23,1.0,-5.983580953489716
45.0,0.2,250.0,0.24,0.05,-7.428747824913321
45.0,0.2,250.0,0.24,0.1,-7.315347601286704
45.0,0.2,250.0,0.24,0.3,-6.966592329791739
45.0,0.2,250.0,0.24,0.5,-6.6371049153620705
45.0,0.2,250.0,0.24,0.9,-6.01985158463978
45.0,0.2,250.0,0.24,1.0,-5.874018039137655
45.0,0.2,250.0,0.25,0.05,-7.296872910864765
45.0,0.2,250.0,0.25,0.1,-7.184179274122781
45.0,0.2,250.0,0.25,0.3,-6.838979572398946
45.0,0.2,250.0,0.25,0.5,-6.514129576463839
45.0,0.2,250.0,0.25,0.9,-5.909473903234348
45.0,0.2,250.0,0.25,1.0,-5.767410437245213
45.0,0.2,250.0,0.26,0.05,-7.1662060735171424
45.0,0.2,250.0,0.26,0.1,-7.054299557608033
45.0,0.2,250.0,0.26,0.3,-6.7130565133392945
45.0,0.2,250.0,0.26,0.5,-6.393282294438036
45.0,0.2,250.0,0.26,0.9,-5.80201136112392
45.0,0.2,250.0,0.26,1.0,-5.663872618560522
45.0,0.2,250.0,0.27,0.05,-7.036900035330389
45.0,0.2,250.0,0.27,0.1,-6.92586404820688
45.0,0.2,250.0,0.27,0.3,-6.588993452224607
45.0,0.2,250.0,0.27,0.5,-6.274730487776662
45.0,0.2,250.0,0.27,0.9,-5.697582480849378
45.0,0.2,250.0,0.27,1.0,-5.563511356774769
45.0,0.2,250.0,0.28,0.05,-6.909114420006781
45.0,0.2,250.0,0.28,0.1,-6.799031919196028
45.0,0.2,250.0,0.28,0.3,-6.466960430315172
45.0,0.2,250.0,0.28,0.5,-6.158637400633636
45.0,0.2,250.0,0.28,0.9,-5.5962928052502035
45.0,0.2,250.0,0.28,1.0,-5.466419846110964
45.0,0.2,250.0,0.29,0.05,-6.7830269812344275
45.0,0.2,250.0,0.29,0.1,-6.673973581677185
45.0,0.2,250.0,0.29,0.3,-6.347128299810384
45.0,0.2,250.0,0.29,0.5,-6.045156649797377
45.0,0.2,250.0,0.29,0.9,-5.498238488599773
45.0,0.2,250.0,0.29,1.0,-5.372684336000087
45.0,0.2,250.0,0.3,0.05,-6.658810886504667
45.0,0.2,250.0,0.3,0.1,-6.550865778611419
45.0,0.2,250.0,0.3,0.3,-6.229664295872186
45.0,0.2,250.0,0.3,0.5,-5.934427753856525
45.0,0.2,250.0,0.3,0.9,-5.403511766506727
45.0,0.2,250.0,0.3,1.0,-5.282390235913832
45.0,0.2,250.0,0.31,0.05,-6.536652086557013
45.0,0.2,250.0,0.31,0.1,-6.429879885780232
45.0,0.2,250.0,0.31,0.3,-6.1147253081916135
45.0,0.2,250.0,0.31,0.5,-5.82658352909192
45.0,0.2,250.0,0.31,0.9,-5.3121964588683745
45.0,0.2,250.0,0.31,1.0,-5.195611788876422
45.0,0.2,250.0,0.32,0.05,-6.416737730696754
45.0,0.2,250.0,0.32,0.1,-6.311187888284871
45.0,0.2,250.0,0.32,0.3,-6.002458538121338
45.0,0.2,250.0,0.32,0.5,-5.7217381158005125
45.0,0.2,250.0,0.32,0.9,-5.224369166477968
45.0,0.2,250.0,0.32,1.0,-5.112415891832157
45.0,0.2,250.0,0.33,0.05,-6.299252163545113
45.0,0.2,250.0,0.33,0.1,-6.194958146092786
45.0,0.2,250.0,0.33,0.3,-5.89300044270516
45.0,0.2,250.0,0.33,0.5,-5.61999871803234
45.0,0.2,250.0,0.33,0.9,-5.140103101144591
45.0,0.2,250.0,0.33,1.0,-5.032859365829356
45.0,0.2,250.0,0.34,0.05,-6.184378426003588
45.0,0.2,250.0,0.34,0.1,-6.081348039156656
45.0,0.2,250.0,0.34,0.3,-5.786471618192208
45.0,0.2,250.0,0.34,0.5,-5.521463805078185
45.0,0.2,250.0,0.34,0.9,-5.059458115559525
45.0,0.2,250.0,0.34,1.0,-4.956979789868754
45.0,0.2,250.0,0.35,0.05,-6.0722909577547775
45.0,0.2,250.0,0.35,0.1,-5.9705066478118205
45.0,0.2,250.0,0.35,0.3,-5.682986084942972
45.0,0.2,250.0,0.35,0.5,-5.426225910737907
45.0,0.2,250.0,0.35,0.9,-4.982478354030109
45.0,0.2,250.0,0.35,1.0,-4.8847890232958315
45.0,0.2,250.0,0.36,0.05,-5.963159597256863
45.0,0.2,250.0,0.36,0.1,-5.862566760546348
45.0,0.2,250.0,0.36,0.3,-5.582647899562421
45.0,0.2,250.0,0.36,0.5,-5.334372111462224
45.0,0.2,250.0,0.36,0.9,-4.909188406938795
45.0,0.2,250.0,0.36,1.0,-4.81628327658201
45.0,0.2,250.0,0.37,0.05,-5.857141448886609
45.0,0.2,250.0,0.37,0.1,-5.75765986464228
45.0,0.2,250.0,0.37,0.3,-5.4855531960150135
45.0,0.2,250.0,0.37,0.5,-5.245988219964772
45.0,0.2,250.0,0.37,0.9,-4.8395854964340534
45.0,0.2,250.0,0.37,1.0,-4.75141865653341
45.0,0.2,250.0,0.38,0.05,-5.754391107137696
45.0,0.2,250.0,0.38,0.1,-5.655896697041331
45.0,0.2,250.0,0.38,0.3,-5.391794992295674
45.0,0.2,250.0,0.38,0.5,-5.161150909262744
45.0,0.2,250.0,0.38,0.9,-4.773637281759578
45.0,0.2,250.0,0.38,1.0,-4.6901272063852195
45.0,0.2,250.0,0.39,0.05,-5.65505979988599
45.0,0.2,250.0,0.39,0.1,-5.557391686251638
45.0,0.2,250.0,0.39,0.3,-5.301461029618235
45.0,0.2,250.0,0.39,0.5,-5.079926265453787
45.0,0.2,250.0,0.39,0.9,-4.711285867576573
45.0,0.2,250.0,0.39,1.0,-4.632314289529239
45.0,0.2,250.0,0.4,0.05,-5.55929237658708
45.0,0.2,250.0,0.4,0.1,-5.4622476277549605
45.0,0.2,250.0,0.4,0.3,-5.214635280440129
45.0,0.2,250.0,0.4,0.5,-5.002366828206873
45.0,0.2,250.0,0.4,0.9,-4.652441674124015
45.0,0.2,250.0,0.4,1.0,-4.577855187042087
45.0,0.2,250.0,0.41,0.05,-5.467231611734041
45.0,0.2,250.0,0.41,0.1,-5.370566953706099
45.0,0.2,250.0,0.41,0.3,-5.1313943501245864
45.0,0.2,250.0,0.41,0.5,-4.928500929488431
45.0,0.2,250.0,0.41,0.9,-4.596991070793424
45.0,0.2,250.0,0.41,1.0,-4.526612308592146
45.0,0.2,250.0,0.42,0.05,-5.379027406458123
45.0,0.2,250.0,0.42,0.1,-5.282447654480481
45.0,0.2,250.0,0.42,0.3,-5.05180081057563
45.0,0.2,250.0,0.42,0.5,-4.858337051311428
45.0,0.2,250.0,0.42,0.9,-4.544797185081584
45.0,0.2,250.0,0.42,1.0,-4.478426532009511
45.0,0.2,250.0,0.43,0.05,-5.294820755126324
45.0,0.2,250.0,0.43,0.1,-5.197982673817192
45.0,0.2,250.0,0.43,0.3,-4.975900360914553
45.0,0.2,250.0,0.43,0.5,-4.791843608412116
45.0,0.2,250.0,0.43,0.9,-4.495707241554851
45.0,0.2,250.0,0.43,1.0,-4.433131373759068
45.0,0.2,250.0,0.44,0.05,-5.214752047897157
45.0,0.2,250.0,0.44,0.1,-5.117256946803124
45.0,0.2,250.0,0.44,0.3,-4.9037123424029305
45.0,0.2,250.0,0.44,0.5,-4.728969678958579
45.0,0.2,250.0,0.44,0.9,-4.4495551653497865
45.0,0.2,250.0,0.44,1.0,-4.390552870385026
45.0,0.2,275.0,0.0,0.05,-10.34136576600465
45.0,0.2,275.0,0.0,0.1,-10.219814508676437
45.0,0.2,275.0,0.0,0.3,-9.863076598123623
45.0,0.2,275.0,0.0,0.5,-9.518426959403966
45.0,0.2,275.0,0.0,0.9,-8.834530124930692
45.0,0.2,275.0,0.0,1.0,-8.662630602036609
45.0,0.2,275.0,0.01,0.05,-10.214664469361244
45.0,0.2,275.0,0.01,0.1,-10.093297633633322
45.0,0.2,275.0,0.01,0.3,-9.737233390124521
45.0,0.2,275.0,0.01,0.5,-9.393172744534017
45.0,0.2,275.0,0.01,0.9,-8.710379836449846
45.0,0.2,275.0,0.01,1.0,-8.538771678219451
45.0,0.2,275.0,0.02,0.05,-10.087920959933193
45.0,0.2,275.0,0.02,0.1,-9.966700921008579
45.0,0.2,275.0,0.02,0.3,-9.611181490269388
45.0,0.2,275.0,0.02,0.5,-9.26763599841104
45.0,0.2,275.0,0.02,0.9,-8.585949672790644
45.0,0.2,275.0,0.02,1.0,-8.414666757452073
45.0,0.2,275.0,0.03,0.05,-9.96116929798918
45.0,0.2,275.0,0.03,0.1,-9.840069042032196
45.0,0.2,275.0,0.03,0.3,-9.485014189505963
45.0,0.2,275.0,0.03,0.5,-9.141941873223749
45.0,0.2,275.0,0.03,0.9,-8.461403647277908
45.0,0.2,275.0,0.03,1.0,-8.290486664814464
45.0,0.2,275.0,0.04,0.05,-9.834441124688173
45.0,0.2,275.0,0.04,0.1,-9.713440246019696
45.0,0.2,275.0,0.04,0.3,-9.358801625106116
45.0,0.2,275.0,0.04,0.5,-9.016186596171352
45.0,0.2,275.0,0.04,0.9,-8.33687506144618
45.0,0.2,275.0,0.04,1.0,-8.166371668253298
45.0,0.2,275.0,0.05,0.05,-9.707752791886657
45.0,0.2,275.0,0.05,0.1,-9.586844465755311
45.0,0.2,275.0,0.05,0.3,-9.23259847439527
45.0,0.2,275.0,0.05,0.5,-8.89044507503851
45.0,0.2,275.0,0.05,0.9,-8.212473642409266
45.0,0.2,275.0,0.05,1.0,-8.042436767095209
45.0,0.2,275.0,0.06,0.05,-9.581128863985898
45.0,0.2,275.0,0.06,0.1,-9.460308041574828
45.0,0.2,275.0,0.06,0.3,-9.106450722591735
45.0,0.2,275.0,0.06,0.5,-8.764784762028755
45.0,0.2,275.0,0.06,0.9,-8.088294407035134
45.0,0.2,275.0,0.06,1.0,-7.918785953898173
45.0,0.2,275.0,0.07,0.05,-9.454585251231856
45.0,0.2,275.0,0.07,0.1,-9.33385188879839
45.0,0.2,275.0,0.07,0.3,-8.980397737970659
45.0,0.2,275.0,0.07,0.5,-8.639257051309329
45.0,0.2,275.0,0.07,0.9,-7.964422186639458
45.0,0.2,275.0,0.07,1.0,-7.795511023834492
45.0,0.2,275.0,0.08,0.05,-9.328140607471056
45.0,0.2,275.0,0.08,0.1,-9.207498349853179
45.0,0.2,275.0,0.08,0.3,-8.85447418974216
45.0,0.2,275.0,0.08,0.5,-8.51391255794014
45.0,0.2,275.0,0.08,0.9,-7.840938374279332
45.0,0.2,275.0,0.08,1.0,-7.672704426136263
45.0,0.2,275.0,0.09,0.05,-9.201812895322536
45.0,0.2,275.0,0.09,0.1,-9.081268434928518
45.0,0.2,275.0,0.09,0.3,-8.728718460162332
45.0,0.2,275.0,0.09,0.5,-8.388800497184622
45.0,0.2,275.0,0.09,0.9,-7.717926482106751
45.0,0.2,275.0,0.09,1.0,-7.550453723498455
45.0,0.2,275.0,0.1,0.05,-9.07562249177049
45.0,0.2,275.0,0.1,0.1,-8.955185952471362
45.0,0.2,275.0,0.1,0.3,-8.603161019446713
45.0,0.2,275.0,0.1,0.5,-8.26396782036114
45.0,0.2,275.0,0.1,0.9,-7.59546218315804
45.0,0.2,275.0,0.1,1.0,-7.428848074066112
45.0,0.2,275.0,0.11,0.05,-8.949593173688417
45.0,0.2,275.0,0.11,0.1,-8.829274893208215
45.0,0.2,275.0,0.11,0.3,-8.477840172501768
45.0,0.2,275.0,0.11,0.5,-8.139466155803438
45.0,0.2,275.0,0.11,0.9,-7.473633580053233
45.0,0.2,275.0,0.11,1.0,-7.307983702933158
45.0,0.2,275.0,0.12,0.05,-8.823743740389316
45.0,0.2,275.0,0.12,0.1,-8.70356078938795
45.0,0.2,275.0,0.12,0.3,-8.352795087993718
45.0,0.2,275.0,0.12,0.5,-8.015347591859703
45.0,0.2,275.0,0.12,0.9,-7.352529006141154
45.0,0.2,275.0,0.12,1.0,-7.1879581105273935
45.0,0.2,275.0,0.13,0.05,-8.698110951443839
45.0,0.2,275.0,0.13,0.1,-8.578077049690759
45.0,0.2,275.0,0.13,0.3,-8.228068012628183
45.0,0.2,275.0,0.13,0.5,-7.891671805733816
45.0,0.2,275.0,0.13,0.9,-7.232241736306853
45.0,0.2,275.0,0.13,1.0,-7.068874842896943
45.0,0.2,275.0,0.14,0.05,-8.57271842749441
45.0,0.2,275.0,0.14,0.1,-8.452856895502014
45.0,0.2,275.0,0.14,0.3,-8.103705872404042
45.0,0.2,275.0,0.14,0.5,-7.768497278038142
45.0,0.2,275.0,0.14,0.9,-7.112872400777311
45.0,0.2,275.0,0.14,1.0,-6.95084402383066
45.0,0.2,275.0,0.15,0.05,-8.447605585188398
45.0,0.2,275.0,0.15,0.1,-8.327937256654705
45.0,0.2,275.0,0.15,0.3,-7.979763056089192
45.0,0.2,275.0,0.15,0.5,-7.645897325861861
45.0,0.2,275.0,0.15,0.9,-6.994523478522881
45.0,0.2,275.0,0.15,1.0,-6.833972690822636
45.0,0.2,275.0,0.16,0.05,-8.322810206763608
45.0,0.2,275.0,0.16,0.1,-8.203361845453108
45.0,0.2,275.0,0.16,0.3,-7.856292131653201
45.0,0.2,275.0,0.16,0.5,-7.523944072320163
45.0,0.2,275.0,0.16,0.9,-6.877309115929186
45.0,0.2,275.0,0.16,1.0,-6.7183849314631425
45.0,0.2,275.0,0.17,0.05,-8.19837748264791
45.0,0.2,275.0,0.17,0.1,-8.079177771705668
45.0,0.2,275.0,0.17,0.3,-7.733359139452116
45.0,0.2,275.0,0.17,0.5,-7.402718468129652
45.0,0.2,275.0,0.17,0.9,-6.761341797478141
45.0,0.2,275.0,0.17,1.0,-6.604195010824341
45.0,0.2,275.0,0.18,0.05,-8.074357928823042
45.0,0.2,275.0,0.18,0.1,-7.955436722492601
45.0,0.2,275.0,0.18,0.3,-7.6110342690938175
45.0,0.2,275.0,0.18,0.5,-7.282310361838674
45.0,0.2,275.0,0.18,0.9,-6.646735988682376
45.0,0.2,275.0,0.18,1.0,-6.491525497170459
45.0,0.2,275.0,0.19,0.05,-7.950809121583204
45.0,0.2,275.0,0.19,0.1,-7.832204318536878
45.0,0.2,275.0,0.19,0.3,-7.489393335076898
45.0,0.2,275.0,0.19,0.5,-7.162812585515425
45.0,0.2,275.0,0.19,0.9,-6.533614372973611
45.0,0.2,275.0,0.19,1.0,-6.380496580042689
45.0,0.2,275.0,0.2,0.05,-7.827791264807031
45.0,0.2,275.0,0.2,0.1,-7.709540210954405
45.0,0.2,275.0,0.2,0.3,-7.368519703080624
45.0,0.2,275.0,0.2,0.5,-7.044325716390844
45.0,0.2,275.0,0.2,0.9,-6.4220936353719615
45.0,0.2,275.0,0.2,1.0,-6.271223494009908
45.0,0.2,275.0,0.21,0.05,-7.705375075920032
45.0,0.2,275.0,0.21,0.1,-7.587519292365696
45.0,0.2,275.0,0.21,0.3,-7.248503803044428
45.0,0.2,275.0,0.21,0.5,-6.926956521290511
45.0,0.2,275.0,0.21,0.9,-6.312290046156309
45.0,0.2,275.0,0.21,1.0,-6.163822784236624
45.0,0.2,275.0,0.22,0.05,-7.5836374635104535
45.0,0.2,275.0,0.22,0.1,-7.466221588611985
45.0,0.2,275.0,0.22,0.3,-7.129441602333593
45.0,0.2,275.0,0.22,0.5,-6.810812984193574
45.0,0.2,275.0,0.22,0.9,-6.204318066106133
45.0,0.2,275.0,0.22,1.0,-6.058402611404014
45.0,0.2,275.0,0.23,0.05,-7.462662042336293
45.0,0.2,275.0,0.23,0.1,-7.345732949413531
45.0,0.2,275.0,0.23,0.3,-7.01143480074043
45.0,0.2,275.0,0.23,0.5,-6.696007386638334
45.0,0.2,275.0,0.23,0.9,-6.098285645674568
45.0,0.2,275.0,0.23,1.0,-5.95506845385084
45.0,0.2,275.0,0.24,0.05,-7.342541606933079
45.0,0.2,275.0,0.24,0.1,-7.2261455647404365
45.0,0.2,275.0,0.24,0.3,-6.894588607171301
45.0,0.2,275.0,0.24,0.5,-6.582656205838624
45.0,0.2,275.0,0.24,0.9,-5.994296246236492
45.0,0.2,275.0,0.24,1.0,-5.853918498366334
45.0,0.2,275.0,0.25,0.05,-7.223373625684574
45.0,0.2,275.0,0.25,0.1,-7.107559213311028
45.0,0.2,275.0,0.25,0.3,-6.779016357469959
45.0,0.2,275.0,0.25,0.5,-6.470871343791659
45.0,0.2,275.0,0.25,0.9,-5.892450870255313
45.0,0.2,275.0,0.25,1.0,-5.755050305678566
45.0,0.2,275.0,0.26,0.05,-7.1052636948978485
45.0,0.2,275.0,0.26,0.1,-6.990077670466936
45.0,0.2,275.0,0.26,0.3,-6.664825034511751
45.0,0.2,275.0,0.26,0.5,-6.360763600878854
45.0,0.2,275.0,0.26,0.9,-5.79284246044912
45.0,0.2,275.0,0.26,1.0,-5.658563496863807
45.0,0.2,275.0,0.27,0.05,-6.988323850066091
45.0,0.2,275.0,0.27,0.1,-6.873810127708092
45.0,0.2,275.0,0.27,0.3,-6.552129070300952
45.0,0.2,275.0,0.27,0.5,-6.252440603685214
45.0,0.2,275.0,0.27,0.9,-5.695571949636826
45.0,0.2,275.0,0.27,1.0,-5.564557000545662
45.0,0.2,275.0,0.28,0.05,-6.872671629943478
45.0,0.2,275.0,0.28,0.1,-6.758869585490283
45.0,0.2,275.0,0.28,0.3,-6.4410371657076215
45.0,0.2,275.0,0.28,0.5,-6.146004453053662
45.0,0.2,275.0,0.28,0.9,-5.600733079354849
45.0,0.2,275.0,0.28,1.0,-5.473132393973851
45.0,0.2,275.0,0.29,0.05,-6.75842363778364
45.0,0.2,275.0,0.29,0.1,-6.6453634264333115
45.0,0.2,275.0,0.29,0.3,-6.331657887752213
45.0,0.2,275.0,0.29,0.5,-6.041551752924584
45.0,0.2,275.0,0.29,0.9,-5.508426814228882
45.0,0.2,275.0,0.29,1.0,-5.384398154419426
45.0,0.2,275.0,0.3,0.05,-6.645709041796259
45.0,0.2,275.0,0.3,0.1,-6.5334096458413295
45.0,0.2,275.0,0.3,0.3,-6.2240926004807955
45.0,0.2,275.0,0.3,0.5,-5.939177553889813
45.0,0.2,275.0,0.3,0.9,-5.418761670252151
45.0,0.2,275.0,0.3,1.0,-5.2984656891815485
45.0,0.2,275.0,0.31,0.05,-6.534648383182018
45.0,0.2,275.0,0.31,0.1,-6.423114107267561
45.0,0.2,275.0,0.31,0.3,-6.118437895144574
45.0,0.2,275.0,0.31,0.5,-5.838967582434921
45.0,0.2,275.0,0.31,0.9,-5.331849933828696
45.0,0.2,275.0,0.31,1.0,-5.215450459738393
45.0,0.2,275.0,0.32,0.05,-6.425366927745483
45.0,0.2,275.0,0.32,0.1,-6.314585224622831
45.0,0.2,275.0,0.32,0.3,-6.014786009418949
45.0,0.2,275.0,0.32,0.5,-5.74101809987668
45.0,0.2,275.0,0.32,0.9,-5.247807067611001
45.0,0.2,275.0,0.32,1.0,-5.135462814593366
45.0,0.2,275.0,0.33,0.05,-6.317990379617879
45.0,0.2,275.0,0.33,0.1,-6.207925741642414
45.0,0.2,275.0,0.33,0.3,-5.91322742977772
45.0,0.2,275.0,0.33,0.5,-5.64542100989692
45.0,0.2,275.0,0.33,0.9,-5.16674767529748
45.0,0.2,275.0,0.33,1.0,-5.058603864499305
45.0,0.2,275.0,0.34,0.05,-6.212639431787642
45.0,0.2,275.0,0.34,0.1,-6.103232452387765
45.0,0.2,275.0,0.34,0.3,-5.813846354065702
45.0,0.2,275.0,0.34,0.5,-5.552277752492405
45.0,0.2,275.0,0.34,0.9,-5.088778450767394
